,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
28973553Z,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.5500000000001,No,Grup A,Mia Schneider Fischer,False,1976-10-22,48
14773153R,Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1438.5,Si,Grup A,Lea Fischer,False,1986-09-09,38
23266650S,Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1379.7,No,Grup A,Lea Müller,False,2003-04-14,22
74158500N,Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1436.4,No,Grup A,Laura Schneider,False,1957-01-25,68
23128433S,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,No,Grup A,Anna Müller,False,1956-03-18,69
90109014Q,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,804.3000000000001,No,Grup A,Mia Schneider Müller,False,1957-03-28,68
95605596P,Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1651.65,No,Grup A,Lukas Müller Schmidt,False,2005-02-23,20
18876645B,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,Grup A,Matías Gómez Álvarez,False,1955-12-04,69
74694535Z,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,802.2,No,Grup A,Lucía Fernández,False,1953-08-08,71
91347406Y,Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,,795.9,No,Grup A,Lucía Fernández,False,1978-11-28,46
33214782A,Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,,1107.75,No,Grup A,Matías Rodríguez,False,1950-06-12,75
83374173K,Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1095.15,No,Grup A,Florencia Álvarez,False,1961-11-14,63
26130098V,Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,943.95,Si,Grup A,Lucas Álvarez,False,1978-08-02,46
72582805W,Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,931.35,Si,Grup A,Juan Álvarez,False,1968-02-21,57
76096673N,Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1198.05,No,Grup A,Lucía Álvarez,False,1972-08-10,52
31385792P,Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1315.65,No,Grup A,Matías Fernández,False,1953-04-28,72
21674643A,Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1567.65,Si,Grup A,Julieta Fernández,False,1961-01-28,64
23645745S,Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,1042.65,No,Grup A,Martina Gómez,False,1963-12-05,61
89545864F,Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1159.2,Si,Grup A,Tomás Gómez,False,1996-01-19,29
61343247E,Florencia,Gómez,Argentina,Còrdova,8,7,1984,,1673.7,No,Grup A,Florencia Gómez,False,1984-07-08,41
57516393C,Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,718.2,Si,Grup A,Lucía Fernández Álvarez,False,1973-03-11,52
25883422V,Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1090.95,No,Grup A,Tomás Fernández Fernández,False,1964-06-13,61
96617848Y,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,Grup A,Valentina Gutiérrez Castro,False,2001-01-02,24
24213568B,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Si,Grup A,Felipe Torres,False,1970-03-19,55
18968118M,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1444.8,No,Grup A,Felipe Gutiérrez Torres,False,2004-10-25,20
57512928A,Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,1044.75,No,Grup A,Laura Castro Gutiérrez,False,1950-02-18,75
27395242L,Daniel,Castro Torres,Colòmbia,Bogotà,5,4,1992,Home,1060.5,Si,Grup A,Daniel Castro Torres,False,1992-04-05,33
52720140A,Daniel,Rojas Torres,Colòmbia,Bogotà,20,8,1985,Home,1529.8500000000001,Si,Grup A,Daniel Rojas Torres,False,1985-08-20,39
39270256A,Santiago,Rojas,Colòmbia,Bogotà,5,4,1987,Home,870.45,No,Grup A,Santiago Rojas,False,1987-04-05,38
79942683D,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1314.6000000000001,No,Grup A,Valentina Torres Torres,False,1951-07-24,73
34050427S,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1225.3500000000001,No,Grup A,Daniela Castro Castro,False,1980-12-25,44
31682831V,Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1117.2,Si,Grup A,Daniela Torres,False,1970-05-17,55
26819385K,Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1097.25,No,Grup A,Sara Torres Castro,False,1987-08-08,37
15387541Y,Andrés,Castro,Colòmbia,Medellín,8,3,2000,Altres,1045.8,No,Grup A,Andrés Castro,False,2000-03-08,25
87427498D,Laura,Rojas,Colòmbia,Medellín,9,5,1969,Dona,1037.4,No,Grup A,Laura Rojas,False,1969-05-09,56
54313717Q,Laura,Castro,Colòmbia,Medellín,19,6,1958,Dona,1558.2,No,Grup A,Laura Castro,False,1958-06-19,67
16349607A,Daniel,Rojas Castro,Colòmbia,Medellín,7,10,1952,Home,838.95,Si,Grup A,Daniel Rojas Castro,False,1952-10-07,72
49287703B,Daniel,Castro,Colòmbia,Medellín,13,10,1956,Home,1267.3500000000001,Si,Grup A,Daniel Castro,False,1956-10-13,68
18783620K,Andrés,Torres,Colòmbia,Medellín,13,1,1967,Home,1645.3500000000001,No,Grup A,Andrés Torres,False,1967-01-13,58
52982989C,Valentina,Castro Rojas,Colòmbia,Medellín,8,12,1986,Dona,857.85,Si,Grup A,Valentina Castro Rojas,False,1986-12-08,38
67234434Y,Valentina,Torres,Colòmbia,Medellín,12,7,1981,Dona,901.95,Si,Grup A,Valentina Torres,False,1981-07-12,44
49560214X,Felipe,Gutiérrez,Colòmbia,Medellín,13,11,1989,Home,1338.75,No,Grup A,Felipe Gutiérrez,False,1989-11-13,35
93060003K,Felipe,Gutiérrez,Colòmbia,Medellín,17,9,1953,Home,1199.1000000000001,Si,Grup A,Felipe Gutiérrez,False,1953-09-17,71
27724652S,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1315.65,Si,Grup A,Clara Sánchez Martínez,True,1996-03-18,29
69630528M,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1095.15,No,Grup A,Toni Sánchez García,True,1999-08-09,25
14219925Z,Toni,Martínez,Espanya,Barcelona,16,5,1964,Home,935.5500000000001,No,Grup A,Toni Martínez,True,1964-05-16,61
40695825B,Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Home,1312.5,No,Grup A,Oriol Sánchez,True,1965-07-27,59
13107162J,Núria,Castells,Espanya,Barcelona,2,7,2005,Dona,1411.2,Si,Grup A,Núria Castells,True,2005-07-02,20
89977538X,Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Home,1069.95,Si,Grup A,Oriol López Martínez,True,1952-06-25,73
67466708W,Jordi,Romero,Espanya,Barcelona,27,8,1968,Home,848.4000000000001,No,Grup A,Jordi Romero,True,1968-08-27,56
42754306Q,Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Home,1039.5,No,Grup A,Toni López Sánchez,True,1975-02-25,50
17393705Z,Joan,Castells,Espanya,Barcelona,10,12,1975,Home,1750.3500000000001,Si,Grup A,Joan Castells,True,1975-12-10,49
14944003P,Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Home,1171.8,No,Grup A,Arnau Sánchez López,True,1960-06-28,65
80981912X,Eva,Martínez,Espanya,Barcelona,11,9,1974,Dona,822.1500000000001,No,Grup A,Eva Martínez,True,1974-09-11,50
76740096F,Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Home,1620.15,Si,Grup A,Joan Romero Romero,True,1999-02-21,26
42373200J,Anna,Sánchez,Espanya,Barcelona,17,7,1984,Altres,1509.9,Si,Grup A,Anna Sánchez,True,1984-07-17,40
25463106V,Núria,Ferrer,Espanya,Barcelona,18,4,1957,,1465.8,Si,Grup A,Núria Ferrer,True,1957-04-18,68
89652804F,Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Home,1755.6000000000001,No,Grup A,Marc Ferrer Castells,True,2002-08-25,22
85696755S,Marc,García,Espanya,Barcelona,23,7,1998,Home,1408.05,Si,Grup A,Marc García,True,1998-07-23,26
63688361W,Joan,García,Espanya,Barcelona,24,12,1957,Home,1635.9,Si,Grup A,Joan García,True,1957-12-24,67
97566754L,Marc,Martínez Martínez,Espanya,Barcelona,6,4,2001,,1160.25,Si,Grup A,Marc Martínez Martínez,True,2001-04-06,24
27007812G,Toni,Romero,Espanya,Barcelona,9,12,1989,Home,1741.95,Si,Grup A,Toni Romero,True,1989-12-09,35
85011730B,Oriol,García Castells,Espanya,Barcelona,18,6,1955,Home,1272.6000000000001,No,Grup A,Oriol García Castells,True,1955-06-18,70
65912422Z,Carla,López,Espanya,Barcelona,18,7,1965,Dona,1216.95,Si,Grup A,Carla López,True,1965-07-18,59
50776135C,Laia,Ferrer,Espanya,Barcelona,23,11,1972,Dona,987.0,No,Grup A,Laia Ferrer,True,1972-11-23,52
20477181R,Anna,Castells García,Espanya,Barcelona,22,10,1952,Dona,732.9,No,Grup A,Anna Castells García,True,1952-10-22,72
96251362T,Oriol,Ferrer Martínez,Espanya,Barcelona,26,7,1950,Home,1001.7,No,Grup A,Oriol Ferrer Martínez,True,1950-07-26,74
21898585T,Jordi,Sánchez,Espanya,Barcelona,18,6,1981,Home,840.0,Si,Grup A,Jordi Sánchez,True,1981-06-18,44
93647831W,Jordi,Sánchez Martínez,Espanya,Barcelona,6,11,1998,Home,1149.75,No,Grup A,Jordi Sánchez Martínez,True,1998-11-06,26
58136944R,Marta,Ferrer,Espanya,Barcelona,28,6,2001,Dona,1368.15,Si,Grup A,Marta Ferrer,True,2001-06-28,24
69900538Q,Núria,López Romero,Espanya,Barcelona,17,9,1957,Dona,1099.3500000000001,No,Grup A,Núria López Romero,True,1957-09-17,67
97525504X,Laia,Martínez,Espanya,Barcelona,22,1,1951,Dona,1247.4,Si,Grup A,Laia Martínez,True,1951-01-22,74
34349532Y,Marc,Ferrer Sánchez,Espanya,Barcelona,15,7,1977,Home,1757.7,No,Grup A,Marc Ferrer Sánchez,True,1977-07-15,48
52037173E,Núria,García Martínez,Espanya,Barcelona,26,5,2005,Dona,1386.0,Si,Grup A,Núria García Martínez,True,2005-05-26,20
37325572G,Carla,López López,Espanya,Barcelona,7,3,1956,Dona,852.6,Si,Grup A,Carla López López,True,1956-03-07,69
21309247F,Oriol,García Ferrer,Espanya,Barcelona,9,12,2003,Home,1683.15,Si,Grup A,Oriol García Ferrer,True,2003-12-09,21
71124235C,Carla,Ferrer,Espanya,Barcelona,27,10,1987,Dona,877.8000000000001,No,Grup A,Carla Ferrer,True,1987-10-27,37
42839231P,Arnau,López Martínez,Espanya,Barcelona,15,11,1972,Home,1666.3500000000001,No,Grup A,Arnau López Martínez,True,1972-11-15,52
21786454M,Laia,Martínez,Espanya,Barcelona,11,2,1951,Dona,1371.3,No,Grup A,Laia Martínez,True,1951-02-11,74
63679621R,Laia,Martínez Romero,Espanya,Barcelona,5,9,1958,Dona,1097.25,No,Grup A,Laia Martínez Romero,True,1958-09-05,66
80030295H,Carla,Romero López,Espanya,Barcelona,23,5,2002,Dona,814.8000000000001,Si,Grup A,Carla Romero López,True,2002-05-23,23
37774950Y,Carla,García,Espanya,Barcelona,25,10,1952,Dona,997.5,No,Grup A,Carla García,True,1952-10-25,72
16112726L,Clara,Castells Romero,Espanya,Barcelona,4,1,1999,Dona,1461.6000000000001,Si,Grup A,Clara Castells Romero,True,1999-01-04,26
66520712S,Pau,Castells,Espanya,Barcelona,1,7,1972,Home,1056.3,No,Grup A,Pau Castells,True,1972-07-01,53
57892591M,Anna,Castells,Espanya,Barcelona,2,1,1951,Dona,964.95,No,Grup A,Anna Castells,True,1951-01-02,74
45074340P,Núria,Ferrer,Espanya,Barcelona,27,10,1977,Dona,1179.15,No,Grup A,Núria Ferrer,True,1977-10-27,47
63645871Q,Toni,López,Espanya,Barcelona,27,9,1979,,904.0500000000001,No,Grup A,Toni López,True,1979-09-27,45
15228560C,Jordi,Castells,Espanya,Barcelona,19,7,1978,Home,1618.0500000000002,No,Grup A,Jordi Castells,True,1978-07-19,46
82418527A,Jordi,Ferrer,Espanya,Barcelona,28,6,2002,Home,1009.0500000000001,No,Grup A,Jordi Ferrer,True,2002-06-28,23
18479670K,Pau,Castells,Espanya,Barcelona,14,9,1991,Home,1642.2,No,Grup A,Pau Castells,True,1991-09-14,33
24238964E,Joan,Martínez Castells,Espanya,Barcelona,22,7,1987,Home,1223.25,No,Grup A,Joan Martínez Castells,True,1987-07-22,37
46145725B,Toni,Ferrer,Espanya,Barcelona,24,8,1972,Home,1750.3500000000001,Si,Grup A,Toni Ferrer,True,1972-08-24,52
