,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
37399141L,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.915,Si,Grup B,Laura Schneider Fischer,False,1958-02-02,67
37368317L,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.455,No,Grup B,Lea Schneider Schneider,False,2005-10-23,19
21390098Z,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.495,Si,Grup B,Mia Fischer,False,1950-08-11,74
60982309S,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2113.47,No,Grup B,Lukas Müller Fischer,False,1971-03-28,54
57692936L,Laura,Schmidt,Alemanya,Hamburg,3,5,1956,,1891.9799999999998,Si,Grup B,Laura Schmidt,False,1956-05-03,69
19508494Q,Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1527.6599999999999,Si,Grup B,Jonas Schneider Schmidt,False,1983-08-15,41
43756083N,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1724.31,No,Grup B,Mia Fischer,False,1953-09-08,71
70945038M,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1730.5199999999998,No,Grup B,Leon Schneider,False,1981-05-05,44
90216535S,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1337.2199999999998,Si,Grup B,Martina Rodríguez Gómez,False,1978-03-10,47
44215821L,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1222.3349999999998,No,Grup B,Julieta Rodríguez,False,1979-07-24,45
18876694Z,Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1461.4199999999998,Si,Grup B,Juan Álvarez Fernández,False,1991-08-11,33
71461971W,Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1728.4499999999998,No,Grup B,Lucas Álvarez,False,1984-03-22,41
49561814F,Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1506.9599999999998,No,Grup B,Tomás Gómez,False,1972-10-03,52
30532432L,Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1514.205,Si,Grup B,Matías Rodríguez Gómez,False,1957-09-28,67
33939128K,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.7999999999997,Si,Grup B,Matías Gómez Gómez,False,2002-08-18,22
14889781M,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1978.9199999999998,Si,Grup B,Lucas Álvarez Álvarez,False,1981-05-17,44
72168409M,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,2061.72,Si,Grup B,Lucas Fernández Álvarez,False,1993-04-27,32
19039929Q,Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1745.0099999999998,Si,Grup B,Matías Álvarez,False,1954-08-24,70
73118029L,Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1288.5749999999998,No,Grup B,Florencia Gómez Fernández,False,1992-07-12,33
23385179B,Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1251.3149999999998,No,Grup B,Florencia Fernández,False,1979-10-14,45
69273831N,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.2549999999999,No,Grup B,Sara Gutiérrez,False,1970-02-26,55
66171387W,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1226.475,No,Grup B,Valentina Rojas,False,1959-09-06,65
21135917V,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2111.3999999999996,No,Grup B,Valentina Torres,False,1968-01-14,57
62035858J,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,Si,Grup B,Sara Castro,False,1974-12-04,50
43658248F,Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1728.4499999999998,Si,Grup B,Daniela Castro,False,1980-03-09,45
28967396E,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.9599999999998,No,Grup B,Daniel Gutiérrez Castro,False,1976-05-04,49
17164182B,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1380.6899999999998,Si,Grup B,Sara Torres Castro,False,1992-02-25,33
78223675H,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2316.33,Si,Grup B,Santiago Gutiérrez Torres,False,1959-12-04,65
81398413Q,Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1488.33,No,Grup B,Laura Castro Torres,False,1997-06-06,28
96850216C,Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1788.4799999999998,Si,Grup B,Valentina Gutiérrez Rojas,False,1959-10-02,65
21977779F,Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1491.435,No,Grup B,Valentina Torres Rojas,False,1957-10-22,67
74222289K,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,No,Grup B,Toni Castells Romero,True,1961-04-13,64
29801291B,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.5699999999997,Si,Grup B,Toni Castells Martínez,True,1981-01-10,44
59690898N,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.4299999999998,Si,Grup B,Oriol López Ferrer,True,1969-11-03,55
21762997G,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.5549999999998,No,Grup B,Pau Sánchez,True,1962-03-13,63
53012171X,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2128.995,Si,Grup B,Laia Sánchez Castells,True,1970-11-21,54
21050694P,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.2549999999999,No,Grup B,Toni Sánchez,True,1987-01-01,38
60287803J,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6049999999998,Si,Grup B,Pau Ferrer,True,1991-03-15,34
14688639J,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1904.3999999999999,No,Grup B,Toni Castells Ferrer,True,1974-11-15,50
56867791S,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.9299999999998,No,Grup B,Marc Castells Sánchez,True,2000-06-24,25
92774049Y,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1512.135,No,Grup B,Oriol Romero García,True,1972-09-05,52
20520614Y,Núria,Ferrer,Espanya,Barcelona,9,6,1959,,2029.6349999999998,No,Grup B,Núria Ferrer,True,1959-06-09,66
47660164G,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2383.605,No,Grup B,Jordi Romero Martínez,True,1983-06-11,42
37655961A,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1683.945,Si,Grup B,Núria García,True,1989-05-02,36
68186758D,Carla,García,Espanya,Barcelona,6,10,2001,Dona,2030.6699999999998,Si,Grup B,Carla García,True,2001-10-06,23
59779704A,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1433.475,Si,Grup B,Clara Romero López,True,1985-12-08,39
97299170Q,Marta,Romero Ferrer,Espanya,Barcelona,7,2,1962,Dona,1382.76,Si,Grup B,Marta Romero Ferrer,True,1962-02-07,63
79349076S,Núria,Martínez Ferrer,Espanya,Barcelona,7,11,1991,Dona,1558.7099999999998,No,Grup B,Núria Martínez Ferrer,True,1991-11-07,33
50351415W,Núria,Ferrer,Espanya,Barcelona,19,9,2001,Dona,1187.145,Si,Grup B,Núria Ferrer,True,2001-09-19,23
63487190Q,Laia,Castells López,Espanya,Barcelona,15,11,1969,Dona,1533.87,No,Grup B,Laia Castells López,True,1969-11-15,55
89757860E,Eva,Castells Martínez,Espanya,Barcelona,15,7,1996,Dona,1417.9499999999998,Si,Grup B,Eva Castells Martínez,True,1996-07-15,29
25439397A,Pau,Ferrer García,Espanya,Barcelona,21,3,1982,Home,1314.4499999999998,No,Grup B,Pau Ferrer García,True,1982-03-21,43
19721783S,Núria,Ferrer,Espanya,Barcelona,7,12,1983,Dona,2032.7399999999998,No,Grup B,Núria Ferrer,True,1983-12-07,41
15336274M,Laia,López Sánchez,Espanya,Barcelona,11,5,1964,Dona,2163.1499999999996,No,Grup B,Laia López Sánchez,True,1964-05-11,61
11062448Q,Marta,Martínez,Espanya,Barcelona,4,7,1980,Dona,1718.1,Si,Grup B,Marta Martínez,True,1980-07-04,45
17135791L,Toni,Romero García,Espanya,Barcelona,12,6,1963,Home,1653.9299999999998,No,Grup B,Toni Romero García,True,1963-06-12,62
49846108N,Joan,Romero López,Espanya,Barcelona,11,1,1950,Home,2051.37,Si,Grup B,Joan Romero López,True,1950-01-11,75
32873655H,Pau,Martínez García,Espanya,Barcelona,15,11,1989,Home,2332.89,No,Grup B,Pau Martínez García,True,1989-11-15,35
66192865D,Carla,Romero,Espanya,Barcelona,17,6,1998,Dona,1847.475,Si,Grup B,Carla Romero,True,1998-06-17,27
87203712F,Arnau,Martínez Sánchez,Espanya,Barcelona,20,6,1971,Home,1421.0549999999998,No,Grup B,Arnau Martínez Sánchez,True,1971-06-20,54
41288932T,Carla,Castells,Espanya,Barcelona,24,10,1962,Dona,1291.6799999999998,Si,Grup B,Carla Castells,True,1962-10-24,62
70317853J,Núria,Romero,Espanya,Barcelona,24,12,1970,Dona,2006.8649999999998,No,Grup B,Núria Romero,True,1970-12-24,54
25178167X,Laia,Sánchez,Espanya,Barcelona,27,1,1965,Dona,1941.6599999999999,Si,Grup B,Laia Sánchez,True,1965-01-27,60
65314666K,Marta,Sánchez Romero,Espanya,Barcelona,5,6,1993,Dona,1366.1999999999998,No,Grup B,Marta Sánchez Romero,True,1993-06-05,32
98834273R,Pau,Romero Martínez,Espanya,Barcelona,16,9,1974,Home,1814.3549999999998,No,Grup B,Pau Romero Martínez,True,1974-09-16,50
47702024A,Clara,García Ferrer,Espanya,Barcelona,10,10,1956,Dona,2055.5099999999998,No,Grup B,Clara García Ferrer,True,1956-10-10,68
87991679M,Anna,Ferrer,Espanya,Barcelona,25,11,1967,Dona,1457.28,No,Grup B,Anna Ferrer,True,1967-11-25,57
83539759S,Marta,López,Espanya,Barcelona,4,6,2002,Dona,1210.9499999999998,Si,Grup B,Marta López,True,2002-06-04,23
95031765F,Anna,López Sánchez,Espanya,Barcelona,19,9,1963,Dona,1494.54,Si,Grup B,Anna López Sánchez,True,1963-09-19,61
87757452L,Marc,Romero,Espanya,Barcelona,16,8,1986,Home,1721.205,No,Grup B,Marc Romero,True,1986-08-16,38
92775120P,Joan,López Castells,Espanya,Barcelona,1,4,1984,,1609.425,Si,Grup B,Joan López Castells,True,1984-04-01,41
63182449W,Jordi,Romero,Espanya,Barcelona,12,12,1950,Home,2331.855,Si,Grup B,Jordi Romero,True,1950-12-12,74
51235097D,Oriol,Martínez López,Espanya,Barcelona,24,6,1980,Home,2136.24,No,Grup B,Oriol Martínez López,True,1980-06-24,45
55212704B,Pau,Martínez Romero,Espanya,Barcelona,26,7,1986,Home,1799.8649999999998,No,Grup B,Pau Martínez Romero,True,1986-07-26,38
23763581C,Arnau,García Ferrer,Espanya,Barcelona,1,6,1979,Home,1776.06,Si,Grup B,Arnau García Ferrer,True,1979-06-01,46
18457585L,Anna,Ferrer Sánchez,Espanya,Barcelona,25,8,1965,,1487.2949999999998,Si,Grup B,Anna Ferrer Sánchez,True,1965-08-25,59
12935907W,Pau,Ferrer García,Espanya,Barcelona,21,6,1990,Home,1510.0649999999998,Si,Grup B,Pau Ferrer García,True,1990-06-21,35
21159286B,Anna,García,Espanya,Barcelona,22,12,1999,Dona,1553.5349999999999,No,Grup B,Anna García,True,1999-12-22,25
46192881X,Eva,Martínez López,Espanya,Barcelona,11,4,1958,Dona,1397.25,No,Grup B,Eva Martínez López,True,1958-04-11,67
43630705N,Laia,Ferrer,Espanya,Barcelona,2,2,1953,Dona,1441.7549999999999,Si,Grup B,Laia Ferrer,True,1953-02-02,72
88020602R,Toni,Romero,Espanya,Barcelona,23,8,2001,Home,2263.5449999999996,No,Grup B,Toni Romero,True,2001-08-23,23
17029292R,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2097.9449999999997,Si,Grup B,Marc Romero Martínez,True,1993-07-04,32
96482330F,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1604.2499999999998,Si,Grup B,Marc Ferrer Ferrer,True,1974-03-20,51
17851044J,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1365.165,Si,Grup B,Pau Ferrer,True,1957-04-25,68
16587202X,Eva,López,Espanya,Bilbao,16,12,1974,Dona,2031.705,No,Grup B,Eva López,True,1974-12-16,50
44988676P,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1953.0449999999998,No,Grup B,Eva Sánchez,True,1977-01-10,48
58904747N,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1574.235,No,Grup B,Joan Ferrer,True,1994-11-13,30
90181637T,Núria,López,Espanya,Bilbao,1,1,1973,Dona,1725.3449999999998,Si,Grup B,Núria López,True,1973-01-01,52
41156735G,Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1732.59,No,Grup B,Toni Castells,True,1990-06-07,35
54585678Q,Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2199.375,Si,Grup B,Pau López Martínez,True,1967-05-22,58
42625930X,Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1581.4799999999998,No,Grup B,Joan Romero,True,1987-11-15,37
44075059L,Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1878.5249999999999,Si,Grup B,Oriol Sánchez Sánchez,True,2002-03-17,23
87744901Q,Toni,García,Espanya,Bilbao,20,9,1990,Home,1757.4299999999998,No,Grup B,Toni García,True,1990-09-20,34
