,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
83274277X,Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2513.28,No,Grup C,Anna Müller,False,1987-01-01,38
60161784X,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,,2075.7,Si,Grup C,Laura Schmidt Müller,False,1987-06-15,38
61558898W,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2491.86,Si,Grup C,Anna Fischer,False,1985-05-14,40
96890044J,Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,2010.42,No,Grup C,Felix Schmidt Schmidt,False,1951-10-20,73
24894099R,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,Si,Grup C,Tomás Rodríguez Fernández,False,1986-04-20,39
13327616P,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,No,Grup C,Tomás Fernández Álvarez,False,1958-09-08,66
35577350W,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1718.7,Si,Grup C,Juan Gómez Gómez,False,1994-10-09,30
58619725P,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Si,Grup C,Valentina Castro,False,1951-09-02,73
75892043S,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,Si,Grup C,Sara Gutiérrez,False,1954-06-12,71
17523109M,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2694.84,No,Grup C,Daniel Gutiérrez Castro,False,1951-07-08,74
43195593E,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,Si,Grup C,Daniela Castro,False,1954-02-05,71
45323039E,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2738.7000000000003,No,Grup C,Andrés Gutiérrez Rojas,False,1986-03-18,39
25654945Y,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2444.94,No,Grup C,Andrés Rojas Castro,False,1974-09-20,50
80887497Q,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,No,Grup C,Toni Ferrer,True,1985-04-12,40
96105165A,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2501.04,Si,Grup C,Marta Martínez Castells,True,1977-07-16,48
93244065C,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2597.94,Si,Grup C,Jordi García Romero,True,1952-05-28,73
26427399L,Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2252.16,No,Grup C,Pau Castells,True,1986-01-22,39
53518484J,Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2779.5,No,Grup C,Joan Martínez,True,1999-09-14,25
59909991M,Núria,Martínez,Espanya,Barcelona,19,6,1981,Dona,1977.78,No,Grup C,Núria Martínez,True,1981-06-19,44
55213721K,Joan,López Ferrer,Espanya,Barcelona,21,6,1951,Home,2844.78,No,Grup C,Joan López Ferrer,True,1951-06-21,74
34121407E,Arnau,López Sánchez,Espanya,Barcelona,22,5,1951,Home,1723.8,Si,Grup C,Arnau López Sánchez,True,1951-05-22,74
66268793B,Oriol,Castells,Espanya,Barcelona,8,7,1950,Home,2835.6,Si,Grup C,Oriol Castells,True,1950-07-08,75
18736805D,Laia,Romero,Espanya,Barcelona,17,4,1962,Dona,1796.22,No,Grup C,Laia Romero,True,1962-04-17,63
53071392K,Oriol,Martínez,Espanya,Barcelona,9,7,2002,Home,2059.38,Si,Grup C,Oriol Martínez,True,2002-07-09,23
15895974X,Núria,Ferrer,Espanya,Barcelona,10,4,1957,Dona,2413.32,No,Grup C,Núria Ferrer,True,1957-04-10,68
75528612H,Núria,Martínez Sánchez,Espanya,Barcelona,23,7,1999,Dona,2228.7,Si,Grup C,Núria Martínez Sánchez,True,1999-07-23,25
47126739B,Carla,Ferrer,Espanya,Barcelona,17,12,1963,Dona,1966.56,Si,Grup C,Carla Ferrer,True,1963-12-17,61
36305607S,Jordi,Sánchez,Espanya,Barcelona,1,3,1976,Home,1796.22,No,Grup C,Jordi Sánchez,True,1976-03-01,49
90082879P,Jordi,Martínez Sánchez,Espanya,Barcelona,12,12,1970,Home,2715.2400000000002,Si,Grup C,Jordi Martínez Sánchez,True,1970-12-12,54
59664001Z,Arnau,Martínez López,Espanya,Barcelona,5,9,1979,Home,2339.88,No,Grup C,Arnau Martínez López,True,1979-09-05,45
80698214F,Joan,Romero,Espanya,Barcelona,8,1,1985,Home,2437.8,No,Grup C,Joan Romero,True,1985-01-08,40
96487370W,Marc,Castells,Espanya,Barcelona,15,6,1952,Home,2659.14,Si,Grup C,Marc Castells,True,1952-06-15,73
92573413K,Toni,Castells,Espanya,Barcelona,20,10,1984,Home,1868.64,No,Grup C,Toni Castells,True,1984-10-20,40
82947791W,Jordi,García,Espanya,Barcelona,23,5,1984,Home,1732.98,Si,Grup C,Jordi García,True,1984-05-23,41
96880751H,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,,2047.14,No,Grup C,Marta Martínez Martínez,True,1995-08-23,29
52684613F,Núria,Castells,Espanya,Bilbao,14,11,1960,,2856.0,Si,Grup C,Núria Castells,True,1960-11-14,64
90370999E,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,2026.74,No,Grup C,Marc Sánchez López,True,1990-08-06,34
85738042R,Toni,García,Espanya,Bilbao,28,10,1998,Home,2768.28,Si,Grup C,Toni García,True,1998-10-28,26
25710763B,Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2680.56,No,Grup C,Eva Castells García,True,1993-03-18,32
12499600L,Pau,Ferrer López,Espanya,Bilbao,22,11,1960,Home,2621.4,Si,Grup C,Pau Ferrer López,True,1960-11-22,64
46969469J,Marc,Romero Romero,Espanya,Bilbao,8,8,1959,Home,2223.6,Si,Grup C,Marc Romero Romero,True,1959-08-08,65
59715366K,Oriol,Romero Sánchez,Espanya,Bilbao,6,2,1997,Home,2843.76,Si,Grup C,Oriol Romero Sánchez,True,1997-02-06,28
67320503B,Toni,López,Espanya,Bilbao,26,1,1998,Home,1899.24,No,Grup C,Toni López,True,1998-01-26,27
28923859R,Eva,Sánchez Castells,Espanya,Bilbao,23,9,1987,Dona,2668.32,Si,Grup C,Eva Sánchez Castells,True,1987-09-23,37
59804478P,Núria,Martínez Ferrer,Espanya,Bilbao,27,3,1965,Dona,2338.86,No,Grup C,Núria Martínez Ferrer,True,1965-03-27,60
52501105S,Marc,Castells,Espanya,Bilbao,11,9,1984,Home,1880.88,No,Grup C,Marc Castells,True,1984-09-11,40
30932082P,Marta,López,Espanya,Bilbao,2,9,1954,Altres,1960.44,Si,Grup C,Marta López,True,1954-09-02,70
58004635G,Marc,Martínez Sánchez,Espanya,Bilbao,21,12,1965,Home,2291.94,Si,Grup C,Marc Martínez Sánchez,True,1965-12-21,59
84495908R,Toni,Sánchez Romero,Espanya,Bilbao,18,12,1952,Home,2074.68,No,Grup C,Toni Sánchez Romero,True,1952-12-18,72
54990944C,Laia,Sánchez Romero,Espanya,Bilbao,4,12,1960,Dona,2101.2,Si,Grup C,Laia Sánchez Romero,True,1960-12-04,64
80122915D,Jordi,Romero García,Espanya,Bilbao,5,12,1978,Home,1986.96,Si,Grup C,Jordi Romero García,True,1978-12-05,46
65854367Q,Toni,López García,Espanya,Bilbao,23,2,1976,Home,2534.7,No,Grup C,Toni López García,True,1976-02-23,49
99057187Q,Joan,Ferrer García,Espanya,Bilbao,5,5,1995,Home,2913.12,Si,Grup C,Joan Ferrer García,True,1995-05-05,30
78312427G,Toni,Romero Ferrer,Espanya,Bilbao,13,12,1970,Home,2392.92,No,Grup C,Toni Romero Ferrer,True,1970-12-13,54
96250825S,Jordi,Castells López,Espanya,Bilbao,12,2,1961,Home,2407.2,Si,Grup C,Jordi Castells López,True,1961-02-12,64
37902729B,Joan,Romero García,Espanya,Bilbao,25,1,1954,Home,2056.32,No,Grup C,Joan Romero García,True,1954-01-25,71
25564518R,Joan,López García,Espanya,Bilbao,21,11,1987,Home,2681.58,No,Grup C,Joan López García,True,1987-11-21,37
88633819Y,Clara,Romero López,Espanya,Bilbao,11,1,1955,Altres,2418.42,Si,Grup C,Clara Romero López,True,1955-01-11,70
32306507M,Laia,López,Espanya,Madrid,11,7,1964,,2104.26,Si,Grup C,Laia López,True,1964-07-11,61
69153285Z,Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2132.82,No,Grup C,Pau Sánchez,True,2001-10-08,23
41282325G,Marc,García,Espanya,Madrid,19,10,1955,Home,2219.52,Si,Grup C,Marc García,True,1955-10-19,69
82284855A,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2776.44,No,Grup C,Pau Romero Romero,True,1988-12-06,36
60585845J,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2200.14,No,Grup C,Arnau Castells Castells,True,1963-11-07,61
98253101W,Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2790.7200000000003,No,Grup C,Arnau Romero,True,1985-06-26,40
76564295Y,Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2593.86,No,Grup C,Clara Romero,True,1986-12-05,38
86767469V,Eva,García Martínez,Espanya,Madrid,10,7,1965,Dona,2033.88,Si,Grup C,Eva García Martínez,True,1965-07-10,60
56070621Z,Marc,Castells,Espanya,Madrid,28,11,1976,Home,2261.34,No,Grup C,Marc Castells,True,1976-11-28,48
37195438N,Carla,Romero,Espanya,Madrid,8,11,1991,Dona,2567.34,Si,Grup C,Carla Romero,True,1991-11-08,33
17966918Y,Arnau,Ferrer Sánchez,Espanya,Madrid,17,7,1964,Home,2357.2200000000003,No,Grup C,Arnau Ferrer Sánchez,True,1964-07-17,60
27295557B,Laia,García García,Espanya,Madrid,8,12,1972,Dona,2269.5,Si,Grup C,Laia García García,True,1972-12-08,52
49180523M,Oriol,López Martínez,Espanya,Madrid,17,3,1978,Home,2328.66,Si,Grup C,Oriol López Martínez,True,1978-03-17,47
29661736H,Marta,López,Espanya,Madrid,16,7,2001,Dona,2002.26,Si,Grup C,Marta López,True,2001-07-16,24
