,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nom complet,Espanyol_a,Data neixement,Edat
44060014R,Jonas,Schneider,Alemanya,Berlín,22,11,1985,Home,2974.32,Si,Grup D,Jonas Schneider,False,1985-11-22,39
68512981B,Leon,Schneider Schneider,Alemanya,Hamburg,16,10,1977,Home,3222.7200000000003,No,Grup D,Leon Schneider Schneider,False,1977-10-16,47
79911049R,Lea,Schneider,Alemanya,Munic,22,9,1950,Dona,2881.44,Si,Grup D,Lea Schneider,False,1950-09-22,74
26634596X,Laura,Schneider Müller,Alemanya,Munic,28,11,1990,Dona,3000.2400000000002,No,Grup D,Laura Schneider Müller,False,1990-11-28,34
19313369G,Florencia,Rodríguez Álvarez,Argentina,Còrdova,27,11,1999,Dona,3255.1200000000003,No,Grup D,Florencia Rodríguez Álvarez,False,1999-11-27,25
33484869X,Jordi,Sánchez,Espanya,Barcelona,6,6,1981,Home,2976.48,No,Grup D,Jordi Sánchez,True,1981-06-06,44
94898766F,Joan,Romero,Espanya,Barcelona,26,4,1969,Altres,3429.0,No,Grup D,Joan Romero,True,1969-04-26,56
19631537S,Laia,Ferrer,Espanya,Barcelona,21,12,1987,Dona,3051.0,Si,Grup D,Laia Ferrer,True,1987-12-21,37
19356603P,Marta,Castells,Espanya,Barcelona,2,10,2003,Dona,2897.6400000000003,No,Grup D,Marta Castells,True,2003-10-02,21
13080692S,Eva,Ferrer Romero,Espanya,Barcelona,1,11,2005,Dona,3130.92,No,Grup D,Eva Ferrer Romero,True,2005-11-01,19
31532532F,Laia,Castells,Espanya,Bilbao,19,4,1950,Dona,2643.84,No,Grup D,Laia Castells,True,1950-04-19,75
86419307C,Eva,Castells Romero,Espanya,Bilbao,25,7,1988,Dona,2627.6400000000003,Si,Grup D,Eva Castells Romero,True,1988-07-25,36
10624826J,Laia,Sánchez López,Espanya,Bilbao,5,8,1972,Dona,3201.1200000000003,No,Grup D,Laia Sánchez López,True,1972-08-05,52
46470158A,Arnau,Romero,Espanya,Bilbao,26,6,1951,Home,3595.32,Si,Grup D,Arnau Romero,True,1951-06-26,74
65535145H,Pau,Castells,Espanya,Bilbao,20,7,1953,Home,3188.1600000000003,No,Grup D,Pau Castells,True,1953-07-20,71
26930927E,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Altres,2819.88,No,Grup D,Laia Castells Ferrer,True,1953-12-16,71
33234964B,Marta,Romero,Espanya,Madrid,10,5,2001,Dona,3034.8,Si,Grup D,Marta Romero,True,2001-05-10,24
98967015K,Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Dona,2803.6800000000003,No,Grup D,Laia Martínez Sánchez,True,1961-06-14,64
58465525T,Clara,Ferrer,Espanya,Madrid,17,7,1990,Dona,2893.32,No,Grup D,Clara Ferrer,True,1990-07-17,34
17081236L,Eva,Sánchez,Espanya,Madrid,9,9,1992,Dona,3115.8,Si,Grup D,Eva Sánchez,True,1992-09-09,32
97855153L,Carla,Martínez,Espanya,Madrid,21,3,1973,Dona,3078.0,No,Grup D,Carla Martínez,True,1973-03-21,52
58966169Z,Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,,2961.36,No,Grup D,Núria Sánchez Castells,True,1981-05-12,44
88845881E,Pau,Martínez López,Espanya,Madrid,3,11,2000,Home,3007.8,Si,Grup D,Pau Martínez López,True,2000-11-03,24
67448348B,Pau,García Romero,Espanya,Madrid,27,12,1983,Home,3046.6800000000003,No,Grup D,Pau García Romero,True,1983-12-27,41
33366982Q,Pau,García,Espanya,Madrid,11,3,1976,,3142.8,No,Grup D,Pau García,True,1976-03-11,49
96810023K,Jordi,López,Espanya,Madrid,25,6,1995,Home,3518.6400000000003,No,Grup D,Jordi López,True,1995-06-25,30
87285985P,Clara,Sánchez,Espanya,Madrid,1,10,2002,Altres,3393.36,Si,Grup D,Clara Sánchez,True,2002-10-01,22
23290905N,Laia,López Castells,Espanya,Madrid,13,8,1971,,2824.2000000000003,Si,Grup D,Laia López Castells,True,1971-08-13,53
30561064P,Oriol,López Castells,Espanya,Madrid,14,4,1987,Home,3624.48,No,Grup D,Oriol López Castells,True,1987-04-14,38
60305889V,Oriol,Ferrer,Espanya,Madrid,12,3,1995,Home,3517.5600000000004,Si,Grup D,Oriol Ferrer,True,1995-03-12,30
49712589T,Marta,López,Espanya,Madrid,9,7,2004,Dona,2986.2000000000003,No,Grup D,Marta López,True,2004-07-09,21
32447081S,Marc,Martínez,Espanya,Sevilla,1,8,1977,Home,3283.2000000000003,No,Grup D,Marc Martínez,True,1977-08-01,47
81229041Z,Carla,López Ferrer,Espanya,Sevilla,4,9,1962,Dona,3089.88,No,Grup D,Carla López Ferrer,True,1962-09-04,62
94076717B,Marc,López,Espanya,Sevilla,8,2,1987,,3206.5200000000004,No,Grup D,Marc López,True,1987-02-08,38
31274825R,Clara,García Martínez,Espanya,Sevilla,2,9,1986,Dona,2587.6800000000003,No,Grup D,Clara García Martínez,True,1986-09-02,38
68247465J,Joan,Martínez Romero,Espanya,Sevilla,4,7,1971,Home,3213.0,No,Grup D,Joan Martínez Romero,True,1971-07-04,54
12868239Z,Toni,López,Espanya,Sevilla,10,3,1989,Home,3112.5600000000004,No,Grup D,Toni López,True,1989-03-10,36
96650060J,Anna,Sánchez Castells,Espanya,Sevilla,1,2,1960,Dona,2840.4,No,Grup D,Anna Sánchez Castells,True,1960-02-01,65
58847232T,Arnau,Sánchez García,Espanya,València,24,2,1978,Home,3545.6400000000003,No,Grup D,Arnau Sánchez García,True,1978-02-24,47
73128127J,Arnau,Castells Sánchez,Espanya,València,17,4,1998,Home,3014.28,No,Grup D,Arnau Castells Sánchez,True,1998-04-17,27
87813160D,Arnau,Ferrer,Espanya,València,24,3,1990,Altres,2813.4,Si,Grup D,Arnau Ferrer,True,1990-03-24,35
63108914N,Joan,Martínez Sánchez,Espanya,València,18,2,1986,Home,3583.44,Si,Grup D,Joan Martínez Sánchez,True,1986-02-18,39
53672811D,Carla,Sánchez,Espanya,València,6,3,1957,Dona,3187.0800000000004,Si,Grup D,Carla Sánchez,True,1957-03-06,68
30289780L,Clara,López,Espanya,València,17,2,1951,Dona,3150.36,Si,Grup D,Clara López,True,1951-02-17,74
26689120S,Clara,Romero,Espanya,València,4,1,1974,Dona,3262.6800000000003,Si,Grup D,Clara Romero,True,1974-01-04,51
29203160E,Arnau,López Martínez,Espanya,València,24,1,1970,Home,3513.2400000000002,Si,Grup D,Arnau López Martínez,True,1970-01-24,55
70201568H,Joan,Martínez Ferrer,Espanya,València,12,3,1964,Home,3137.4,No,Grup D,Joan Martínez Ferrer,True,1964-03-12,61
68438696L,Clara,López Castells,Espanya,València,9,4,1982,Dona,3242.1600000000003,No,Grup D,Clara López Castells,True,1982-04-09,43
89245220G,Michel,Lefevre,França,París,21,8,1974,Home,2873.88,No,Grup D,Michel Lefevre,False,1974-08-21,50
14345055N,Michel,Girard Dubois,França,París,9,8,1970,Home,3210.84,No,Grup D,Michel Girard Dubois,False,1970-08-09,54
28237150F,Giovanni,Rossi Russo,Itàlia,Torí,10,12,2000,Home,3093.1200000000003,Si,Grup D,Giovanni Rossi Russo,False,2000-12-10,24
99258742G,Amina,Bennani,Marroc,Casablanca,22,10,2004,Dona,3183.84,Si,Grup D,Amina Bennani,False,2004-10-22,20
81992107P,María,Cruz,Mèxic,Ciutat de Mèxic,14,3,1958,Dona,2865.2400000000002,Si,Grup D,María Cruz,False,1958-03-14,67
91487269P,Maria,Silva Oliveira,Portugal,Lisboa,4,9,1993,,3125.52,No,Grup D,Maria Silva Oliveira,False,1993-09-04,31
25997800F,Beatriz,Ferreira Pereira,Portugal,Lisboa,25,10,2004,Dona,2566.0800000000004,Si,Grup D,Beatriz Ferreira Pereira,False,2004-10-25,20
